Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Adnp_IP04 Spectral Count	Adnp_IP05 Spectral Count	Adnp_IP06 Spectral Count	Chd4BF_IP07 Spectral Count	Chd4BF_IP08 Spectral Count	Chd4BF_IP09 Spectral Count	RBC_ctrl_IP01 Spectral Count	RBC_ctrl_IP02 Spectral Count	RBC_ctrl_IP03 Spectral Count	Adnp_IP04 Unique Spectral Count	Adnp_IP05 Unique Spectral Count	Adnp_IP06 Unique Spectral Count	Chd4BF_IP07 Unique Spectral Count	Chd4BF_IP08 Unique Spectral Count	Chd4BF_IP09 Unique Spectral Count	RBC_ctrl_IP01 Unique Spectral Count	RBC_ctrl_IP02 Unique Spectral Count	RBC_ctrl_IP03 Unique Spectral Count	Adnp_IP04 Total Spectral Count	Adnp_IP05 Total Spectral Count	Adnp_IP06 Total Spectral Count	Chd4BF_IP07 Total Spectral Count	Chd4BF_IP08 Total Spectral Count	Chd4BF_IP09 Total Spectral Count	RBC_ctrl_IP01 Total Spectral Count	RBC_ctrl_IP02 Total Spectral Count	RBC_ctrl_IP03 Total Spectral Count	Adnp_IP04 Intensity	Adnp_IP05 Intensity	Adnp_IP06 Intensity	Chd4BF_IP07 Intensity	Chd4BF_IP08 Intensity	Chd4BF_IP09 Intensity	RBC_ctrl_IP01 Intensity	RBC_ctrl_IP02 Intensity	RBC_ctrl_IP03 Intensity	Adnp_IP04 MaxLFQ Intensity	Adnp_IP05 MaxLFQ Intensity	Adnp_IP06 MaxLFQ Intensity	Chd4BF_IP07 MaxLFQ Intensity	Chd4BF_IP08 MaxLFQ Intensity	Chd4BF_IP09 MaxLFQ Intensity	RBC_ctrl_IP01 MaxLFQ Intensity	RBC_ctrl_IP02 MaxLFQ Intensity	RBC_ctrl_IP03 MaxLFQ Intensity	Indistinguishable Proteins
sp|P0C0S6|H2AZ_MOUSE	P0C0S6	H2AZ_MOUSE	H2afz	128	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H2A.Z	1.0	0.999	11	209	0	351	27	35	32	27	39	23	10	6	10	0	0	0	0	0	0	0	0	0	48	53	49	44	54	40	22	17	24	1.72773018E9	2.17426022E9	2.17008666E9	1.13153792E9	1.86558656E9	1.15391219E9	2.48736448E8	2.1968864E8	3.92060544E8	8.054855E8	1.11477491E9	1.06495021E9	9.0969773E8	9.2477619E8	6.1973363E8	1.17893768E8	9.6099144E7	2.5435096E8	sp|Q3THW5|H2AV_MOUSE
sp|P10126|EF1A1_MOUSE	P10126	EF1A1_MOUSE	Eef1a1	462	Mus musculus OX=10090	1:Experimental evidence at protein level	Elongation factor 1-alpha 1	1.0	0.999	11	109	3	109	14	17	10	11	11	19	8	9	10	2	0	0	0	0	0	0	0	1	14	17	10	11	11	19	8	9	10	1.61837264E8	1.599348E8	1.04597952E8	1.01824176E8	1.86278016E8	1.65315824E8	6.8828272E7	7.8231528E7	8.9116448E7	7.8311856E7	8.162004E7	5.0916864E7	6.0201312E7	8.8364808E7	9.087136E7	3.4704676E7	4.0111044E7	4.49096E7	
sp|P11499|HS90B_MOUSE	P11499	HS90B_MOUSE	Hsp90ab1	724	Mus musculus OX=10090	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.9989	9	25	1	25	5	5	0	2	4	4	4	1	0	0	0	0	0	1	0	0	0	0	5	5	0	2	4	4	4	1	0	3.7405784E7	1.0293823E7	0.0	2.3760744E7	4.0731392E7	1.4992209E7	1.7925796E7	1.8280722E7	0.0	2.1083714E7	1.9520402E7	0.0	1.9438798E7	2.3881272E7	3.047765E7	1.0967397E7	0.0	0.0	
sp|P11679|K2C8_MOUSE	P11679	K2C8_MOUSE	Krt8	490	Mus musculus OX=10090	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	16	45	33	182	2	18	3	4	5	8	1	2	2	2	15	3	3	3	4	1	1	1	17	39	15	16	14	19	19	17	26	6903680.5	2.07631232E8	1.7458038E7	5.0849156E7	4.176254E7	1.08076872E8	0.0	2.112588E7	1.38747E7	1.6004199E7	9.127236E7	1.1091183E7	3.1042286E7	2.1715276E7	5.0528152E7	0.0	1.6934554E7	1.739633E7	
sp|P12970|RL7A_MOUSE	P12970	RL7A_MOUSE	Rpl7a	266	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L7a	1.0	0.999	6	29	25	29	5	8	5	2	4	3	2	0	0	4	6	4	2	4	3	2	0	0	5	8	5	2	4	3	2	0	0	4.333116E7	5.9264056E7	3.2652812E7	2.7562622E7	3.074841E7	2.5849448E7	1905791.2	0.0	0.0	2.1586802E7	2.8698866E7	1.8407556E7	1.5571929E7	2.3697672E7	1.4598833E7	0.0	0.0	0.0	
sp|P14115|RL27A_MOUSE	P14115	RL27A_MOUSE	Rpl27a	148	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L27a	1.0	0.999	4	41	41	41	7	5	3	6	4	4	3	4	5	7	5	3	6	4	4	3	4	5	7	5	3	6	4	4	3	4	5	1.44591504E8	1.64828288E8	6.8668232E7	1.66077456E8	1.21701088E8	5.3182808E7	7.991256E7	9.170372E7	1.1353636E8	7.3199176E7	7.461876E7	5.9103368E7	6.720664E7	7.7170376E7	7.24174E7	4.4073952E7	3.8472332E7	5.3255844E7	
sp|P14131|RS16_MOUSE	P14131	RS16_MOUSE	Rps16	146	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S16	1.0	0.999	3	17	17	17	3	3	3	1	4	2	0	0	1	3	3	3	1	4	2	0	0	1	3	3	3	1	4	2	0	0	1	1.9479276E7	3.58172E7	1.3770571E7	1.9231322E7	3.5650672E7	3.697684E7	0.0	0.0	2.917025E7	1.9838658E7	3.4063672E7	1.3521114E7	0.0	3.7485896E7	0.0	0.0	0.0	0.0	
sp|P14148|RL7_MOUSE	P14148	RL7_MOUSE	Rpl7	270	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L7	1.0	0.9989	4	10	0	10	1	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	4	0	0	0	0	0.0	2.465196E7	6779835.5	0.0	2.3237802E7	0.0	0.0	0.0	0.0	0.0	1.5654625E7	0.0	0.0	1.4005839E7	0.0	0.0	0.0	0.0	tr|F6XI62|F6XI62_MOUSE
sp|P14602-2|HSPB1_MOUSE	P14602-2	HSPB1_MOUSE	Hspb1	197	Mus musculus OX=10090		Isoform B of Heat shock protein beta-1	0.9997	0.9989	2	8	0	8	1	1	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	1	0	9884958.0	1.4014811E7	0.0	5966569.0	1.6897112E7	1.4585925E7	0.0	3302025.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P14602-3|HSPB1_MOUSE, sp|P14602|HSPB1_MOUSE
sp|P14733|LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lmnb1	588	Mus musculus OX=10090	1:Experimental evidence at protein level	Lamin-B1	1.0	0.999	34	217	178	217	33	56	34	17	25	26	6	6	14	29	48	25	15	20	19	5	5	12	33	56	34	17	25	26	6	6	14	9.0927792E7	2.36803488E8	1.20090944E8	9.8554736E7	1.27951776E8	1.21812976E8	2.2467844E7	3.2618158E7	6.6979736E7	5.7247976E7	1.17553016E8	5.7493088E7	5.687594E7	6.2845408E7	6.7676456E7	1.3903985E7	1.4304661E7	4.7927584E7	
sp|P15864|H12_MOUSE	P15864	H12_MOUSE	Hist1h1c	212	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H1.2	1.0	0.999	11	109	29	182	10	25	11	18	14	14	9	4	4	3	6	3	5	3	3	4	1	1	18	38	20	28	21	25	12	10	10	1.72677856E8	3.6690544E8	1.15082984E8	1.2368236E8	1.19020824E8	1.71442944E8	6.0710076E7	0.0	7.1627536E7	1.36873504E8	3.24713248E8	7.718408E7	9.4924936E7	8.1476992E7	1.3221356E8	4.9859588E7	0.0	6.2005396E7	
sp|P16546-2|SPTN1_MOUSE	P16546-2	SPTN1_MOUSE	Sptan1	2452	Mus musculus OX=10090		Isoform 2 of Spectrin alpha chain, non-erythrocytic 1	0.8271	0.999	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	7666547.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P16546|SPTN1_MOUSE, tr|A3KGU5|A3KGU5_MOUSE, tr|A3KGU7|A3KGU7_MOUSE, tr|A3KGU9|A3KGU9_MOUSE, tr|E9Q447|E9Q447_MOUSE
sp|P16858|G3P_MOUSE	P16858	G3P_MOUSE	Gapdh	333	Mus musculus OX=10090	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	12	79	0	79	9	18	5	11	6	14	4	5	7	0	0	0	0	0	0	0	0	0	9	18	5	11	6	14	4	5	7	8.7618448E7	3.12946656E8	6.1319804E7	1.259684E8	1.22493808E8	1.74014608E8	3.6008372E7	4.199516E7	1.39556848E8	7.5586864E7	1.47542192E8	3.52162E7	8.046408E7	8.8380872E7	9.686168E7	2.4471266E7	4.323566E7	6.1482368E7	tr|A0A0A0MQF6|A0A0A0MQF6_MOUSE, tr|A0A1D5RLD8|A0A1D5RLD8_MOUSE
sp|P17095-1|HMGA1_MOUSE	P17095-1	HMGA1_MOUSE	Hmga1	96	Mus musculus OX=10090		Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y	0.9991	0.999	2	5	0	5	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0.0	0.0	5298903.5	0.0	0.0	4.4959312E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A338P6G6|A0A338P6G6_MOUSE, tr|A0A384DV79|A0A384DV79_MOUSE
sp|P17742|PPIA_MOUSE	P17742	PPIA_MOUSE	Ppia	164	Mus musculus OX=10090	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A	1.0	0.9983	3	9	0	9	2	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	1	1	1	0	1.8399438E7	1.2802862E7	0.0	0.0	1.3033962E7	1.560455E7	6747664.0	9410721.0	0.0	2.1651484E7	0.0	0.0	0.0	2.1908558E7	0.0	0.0	0.0	0.0	
sp|P17897|LYZ1_MOUSE	P17897	LYZ1_MOUSE	Lyz1	148	Mus musculus OX=10090	1:Experimental evidence at protein level	Lysozyme C-1	0.8218	0.9989	1	11	11	11	2	0	2	2	1	1	2	1	0	2	0	2	2	1	1	2	1	0	2	0	2	2	1	1	2	1	0	3.345801E7	0.0	1.9689574E7	4.503824E7	2.3713566E7	0.0	4.611846E7	4901602.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P19246|NFH_MOUSE	P19246	NFH_MOUSE	Nefh	1090	Mus musculus OX=10090	1:Experimental evidence at protein level	Neurofilament heavy polypeptide	1.0	0.999	3	2	2	5	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0.0	4198687.0	0.0	0.0	5201011.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P19253|RL13A_MOUSE	P19253	RL13A_MOUSE	Rpl13a	203	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L13a	0.9967	0.999	1	10	0	10	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	1	0	1.8731318E7	2.3353894E7	1.2765826E7	0.0	1.765212E7	1.4834117E7	5670619.5	6378933.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1B0GQW6|A0A1B0GQW6_MOUSE, tr|A0A1B0GS68|A0A1B0GS68_MOUSE, tr|A0A1B0GSF0|A0A1B0GSF0_MOUSE, tr|A0A1B0GSQ6|A0A1B0GSQ6_MOUSE, tr|A0A1B0GTA1|A0A1B0GTA1_MOUSE
sp|P20029|BIP_MOUSE	P20029	BIP_MOUSE	Hspa5	655	Mus musculus OX=10090	1:Experimental evidence at protein level	Endoplasmic reticulum chaperone BiP	1.0	0.999	11	29	29	40	2	0	0	7	9	9	1	1	0	2	0	0	7	9	9	1	1	0	2	2	2	8	12	12	1	1	0	0.0	0.0	0.0	6.086676E7	1.03501896E8	5.2133924E7	1508676.1	2901402.2	0.0	0.0	0.0	0.0	3.658114E7	6.6769856E7	3.3799872E7	0.0	0.0	0.0	
sp|P20152|VIME_MOUSE	P20152	VIME_MOUSE	Vim	466	Mus musculus OX=10090	1:Experimental evidence at protein level	Vimentin	1.0	0.999	43	591	84	591	61	98	35	69	73	105	42	72	36	9	13	6	8	8	12	8	12	8	61	98	35	69	73	105	42	72	36	5.7272205E8	1.21725248E9	2.64584608E8	6.1185926E8	7.3127386E8	1.17834522E9	3.1813536E8	7.1005498E8	3.23573888E8	2.63502928E8	4.96032E8	1.13022456E8	2.7670624E8	3.09082656E8	5.4270694E8	1.37029776E8	3.0780192E8	1.66325072E8	
sp|P21550|ENOB_MOUSE	P21550	ENOB_MOUSE	Eno3	434	Mus musculus OX=10090	1:Experimental evidence at protein level	Beta-enolase	1.0	0.999	6	9	1	9	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0.0	7.6970432E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P21619|LMNB2_MOUSE	P21619	LMNB2_MOUSE	Lmnb2	596	Mus musculus OX=10090	1:Experimental evidence at protein level	Lamin-B2	1.0	0.999	10	5	0	44	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	9	2	5	7	1	1	2	0.0	1.4613227E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0R4J0Q5|A0A0R4J0Q5_MOUSE
sp|P22227|ZFP42_MOUSE	P22227	ZFP42_MOUSE	Zfp42	288	Mus musculus OX=10090	1:Experimental evidence at protein level	Zinc finger protein 42	0.9969	0.9987	2	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1	0	0	0	0.0	0.0	0.0	0.0	2.4394904E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|E9QK22|E9QK22_MOUSE
sp|P23198|CBX3_MOUSE	P23198	CBX3_MOUSE	Cbx3	183	Mus musculus OX=10090	1:Experimental evidence at protein level	Chromobox protein homolog 3	1.0	0.999	18	586	0	586	79	72	116	44	230	45	0	0	0	0	0	0	0	0	0	0	0	0	79	72	116	44	230	45	0	0	0	3.00725504E9	5.374357E9	9.9436759E9	2.89145498E9	2.82350633E10	2.82444442E9	0.0	0.0	0.0	3.08391526E9	2.46869504E9	5.1047956E9	1.26062323E9	1.28441815E10	1.0726697E9	0.0	0.0	0.0	tr|Q9DCC5|Q9DCC5_MOUSE
sp|P24270|CATA_MOUSE	P24270	CATA_MOUSE	Cat	527	Mus musculus OX=10090	1:Experimental evidence at protein level	Catalase	0.998	0.9981	1	3	3	3	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0.0	1.2204759E7	0.0	0.0	0.0	5997133.0	0.0	0.0	1.8711946E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25444|RS2_MOUSE	P25444	RS2_MOUSE	Rps2	293	Mus musculus OX=10090	1:Experimental evidence at protein level	40S ribosomal protein S2	1.0	0.9988	7	13	3	13	1	2	1	1	4	2	0	1	1	1	0	0	0	1	0	0	0	1	1	2	1	1	4	2	0	1	1	0.0	1.1759115E7	0.0	1.9364576E7	3.0181804E7	2.3017316E7	0.0	0.0	0.0	0.0	1.6053009E7	0.0	0.0	4.1202008E7	3.1420904E7	0.0	0.0	0.0	
sp|P27659|RL3_MOUSE	P27659	RL3_MOUSE	Rpl3	403	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L3	1.0	0.999	4	14	8	14	2	4	2	0	5	1	0	0	0	0	2	2	0	3	1	0	0	0	2	4	2	0	5	1	0	0	0	1.3255736E7	4.38982E7	2.3677342E7	0.0	4.41257E7	4035468.8	0.0	0.0	0.0	0.0	2.4146448E7	0.0	0.0	2.4100084E7	0.0	0.0	0.0	0.0	
sp|P27661|H2AX_MOUSE	P27661	H2AX_MOUSE	H2afx	143	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H2AX	1.0	0.999	10	140	69	357	22	18	23	18	17	18	7	7	10	10	9	12	10	9	10	2	2	5	50	49	50	53	44	41	22	20	28	8.8235258E8	1.51408218E9	1.2559776E9	7.6954189E8	9.0558234E8	7.3234982E8	1.3563624E8	1.50457472E8	3.03632832E8	4.63175488E8	6.9801338E8	6.3640877E8	4.1037216E8	4.76928704E8	3.6310688E8	7.0829696E7	8.726212E7	1.94980688E8	
sp|P28574-2|MAX_MOUSE	P28574-2	MAX_MOUSE	Max	151	Mus musculus OX=10090		Isoform 2 of Protein max	1.0	0.999	7	23	1	23	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0.0	0.0	0.0	0.0	4.3608976E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32067|LA_MOUSE	P32067	LA_MOUSE	Ssb	415	Mus musculus OX=10090	1:Experimental evidence at protein level	Lupus La protein homolog	1.0	0.9986	3	5	0	5	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	3138449.8	4773428.0	2275935.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|F6SXM5|F6SXM5_MOUSE
sp|P35550|FBRL_MOUSE	P35550	FBRL_MOUSE	Fbl	327	Mus musculus OX=10090	1:Experimental evidence at protein level	rRNA 2'-O-methyltransferase fibrillarin	1.0	0.999	13	80	35	80	9	19	14	10	13	12	1	0	2	3	8	8	5	6	5	0	0	0	9	19	14	10	13	12	1	0	2	9.309608E7	1.38447744E8	8.5435368E7	8.0548648E7	5.5352024E7	7.7908168E7	3982111.8	0.0	1.693254E7	4.7950368E7	7.1825128E7	4.5033828E7	3.8180476E7	4.1604284E7	4.0236572E7	0.0	0.0	2.4353362E7	
sp|P35980|RL18_MOUSE	P35980	RL18_MOUSE	Rpl18	188	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L18	1.0	0.999	5	23	0	23	5	4	2	2	4	3	1	0	2	0	0	0	0	0	0	0	0	0	5	4	2	2	4	3	1	0	2	4.138544E7	5.6915316E7	2.9544604E7	3.1711476E7	4.6697128E7	3.5936768E7	0.0	0.0	9175720.0	2.6881462E7	3.7273456E7	1.9926728E7	2.0603386E7	3.0326094E7	2.124018E7	0.0	0.0	0.0	
sp|P38647|GRP75_MOUSE	P38647	GRP75_MOUSE	Hspa9	679	Mus musculus OX=10090	1:Experimental evidence at protein level	Stress-70 protein, mitochondrial	1.0	0.999	6	18	18	18	2	2	0	3	5	4	1	1	0	2	2	0	3	5	4	1	1	0	2	2	0	3	5	4	1	1	0	1.3401015E7	3418377.2	0.0	1.0690321E7	1.9398584E7	2.388154E7	2619370.8	0.0	0.0	9136026.0	0.0	0.0	1.0690321E7	1.9398584E7	1.5404026E7	0.0	0.0	0.0	
sp|P39447|ZO1_MOUSE	P39447	ZO1_MOUSE	Tjp1	1745	Mus musculus OX=10090	1:Experimental evidence at protein level	Tight junction protein ZO-1	1.0	0.999	3	9	0	9	0	1	1	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	2	0	1	0	0.0	3425926.8	0.0	2140914.0	3751282.5	3839791.0	0.0	2195568.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|B9EHJ3|B9EHJ3_MOUSE
sp|P41105|RL28_MOUSE	P41105	RL28_MOUSE	Rpl28	137	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L28	1.0	0.999	4	29	29	29	4	4	4	4	7	3	2	0	1	4	4	4	4	7	3	2	0	1	4	4	4	4	7	3	2	0	1	1.2375911E7	3.4790628E7	2.5200254E7	3.665186E7	1.01015032E8	4.18804E7	2959263.8	0.0	7174682.5	3.1441334E7	1.9366626E7	1.9222998E7	2.2514102E7	7.036124E7	2.2962274E7	0.0	0.0	0.0	
sp|P43274|H14_MOUSE	P43274	H14_MOUSE	Hist1h1e	219	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H1.4	1.0	0.999	12	57	57	167	8	18	4	4	5	7	3	3	5	8	18	4	4	5	7	3	3	5	18	43	17	20	19	22	9	9	10	1.17253624E8	2.90908256E8	5.1457604E7	6.2870352E7	9.7319776E7	1.30311024E8	1.6896544E7	1.676735E7	3.3247156E7	4.5863012E7	1.06893216E8	2.9017688E7	3.7018772E7	3.9277684E7	5.0027828E7	9945994.0	9802584.0	2.1843266E7	
sp|P43275|H11_MOUSE	P43275	H11_MOUSE	Hist1h1a	213	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H1.1	1.0	0.999	7	46	46	68	5	8	2	4	2	12	7	3	3	5	8	2	4	2	12	7	3	3	8	12	6	6	4	15	8	5	4	4.5739492E7	6.8737864E7	1.17647E7	2.4943332E7	7606903.0	7.144444E7	6.3214808E7	3834249.5	1.9868472E7	1.9137546E7	2.7838824E7	5941542.0	1.3692878E7	0.0	2.9425948E7	2.560019E7	9626925.0	1.5872916E7	
sp|P43276|H15_MOUSE	P43276	H15_MOUSE	Hist1h1b	223	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H1.5	1.0	0.999	10	104	96	104	17	28	8	10	9	18	3	5	6	17	26	7	9	8	17	3	4	5	17	28	8	10	9	18	3	5	6	1.3431728E8	3.53236128E8	7.9721808E7	1.10989312E8	9.1373544E7	1.18601192E8	1.3557234E7	3.300153E7	6.1595296E7	7.0256648E7	1.79923744E8	3.9693848E7	6.2631164E7	4.593326E7	6.9129432E7	1.5516298E7	1.7449144E7	3.4403692E7	
sp|P43277|H13_MOUSE	P43277	H13_MOUSE	Hist1h1d	221	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H1.3	1.0	0.999	12	112	47	200	15	22	15	14	11	16	4	8	7	7	11	7	5	5	6	1	3	2	22	43	24	28	23	28	9	12	11	4.24987456E8	7.5599904E8	4.08606656E8	2.16701824E8	2.97270624E8	2.7677312E8	5.3836804E7	4.73802E7	1.88031424E8	3.49105056E8	7.9594349E8	2.16774928E8	2.59077168E8	2.28987472E8	2.84925248E8	1.03068704E8	9.1756752E7	1.7465536E8	
sp|P46660|AINX_MOUSE	P46660	AINX_MOUSE	Ina	501	Mus musculus OX=10090	1:Experimental evidence at protein level	Alpha-internexin	1.0	0.9983	5	3	3	21	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	2	3	0	2	1	4	2	6	1	0.0	0.0	0.0	0.0	0.0	7491509.0	0.0	1715568.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P47911|RL6_MOUSE	P47911	RL6_MOUSE	Rpl6	296	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L6	1.0	0.999	4	33	25	33	5	9	5	2	6	4	0	0	2	4	7	4	2	4	3	0	0	1	5	9	5	2	6	4	0	0	2	3.1753012E7	4.0352956E7	3.8909376E7	1.727542E7	4.2120736E7	2.2126512E7	0.0	0.0	2432365.2	1.7639398E7	2.9405156E7	1.7892996E7	9712781.0	1.8083796E7	9466126.0	0.0	0.0	0.0	
sp|P47955|RLA1_MOUSE	P47955	RLA1_MOUSE	Rplp1	114	Mus musculus OX=10090	1:Experimental evidence at protein level	60S acidic ribosomal protein P1	0.824	0.999	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	1.3988982E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|E9Q3T0|E9Q3T0_MOUSE
sp|P47963|RL13_MOUSE	P47963	RL13_MOUSE	Rpl13	211	Mus musculus OX=10090	1:Experimental evidence at protein level	60S ribosomal protein L13	1.0	0.999	10	128	128	128	16	18	13	14	20	15	12	12	8	16	18	13	14	20	15	12	12	8	16	18	13	14	20	15	12	12	8	1.28308512E8	1.63002928E8	1.01844672E8	1.28257624E8	2.97115456E8	1.80352704E8	6.4749076E7	8.0749544E7	8.7584608E7	5.7305228E7	6.4901528E7	4.2628172E7	6.1807336E7	1.31033576E8	8.3484728E7	2.816291E7	3.6954972E7	7.0343928E7	
sp|P48678-2|LMNA_MOUSE	P48678-2	LMNA_MOUSE	Lmna	574	Mus musculus OX=10090		Isoform C of Prelamin-A/C	0.9924	0.999	2	7	0	11	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1	2	0	0	0	1197206.6	5500492.5	2447475.2	2450140.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P48678|LMNA_MOUSE
sp|P48725|PCNT_MOUSE	P48725	PCNT_MOUSE	Pcnt	2898	Mus musculus OX=10090	1:Experimental evidence at protein level	Pericentrin	1.0	0.999	25	54	0	54	9	25	1	3	4	9	0	2	1	0	0	0	0	0	0	0	0	0	9	25	1	3	4	9	0	2	1	1.1595424E7	3.0087252E7	1329749.8	4198363.5	6515246.0	1.7318656E7	0.0	0.0	0.0	7603781.0	1.5107186E7	0.0	5426751.5	6334991.5	1.0068628E7	0.0	3525954.8	0.0	tr|A0A1W2P737|A0A1W2P737_MOUSE, tr|F8VPV0|F8VPV0_MOUSE
sp|P48962|ADT1_MOUSE	P48962	ADT1_MOUSE	Slc25a4	298	Mus musculus OX=10090	1:Experimental evidence at protein level	ADP/ATP translocase 1	1.0	0.999	8	3	3	36	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	5	2	5	4	15	3	1	0	1	0.0	0.0	0.0	1.4941447E7	2.6288416E7	1.166219E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49312|ROA1_MOUSE	P49312	ROA1_MOUSE	Hnrnpa1	320	Mus musculus OX=10090	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1	1.0	0.999	3	29	0	29	5	2	5	4	3	3	3	2	2	0	0	0	0	0	0	0	0	0	5	2	5	4	3	3	3	2	2	9917175.0	7189096.5	1.0545077E7	1.1214357E7	7481936.5	1.3393216E7	3542271.0	5734549.0	7824207.0	1.7519214E7	0.0	1.7908984E7	2.0851384E7	1.4265055E7	2.32068E7	0.0	0.0	1.2899577E7	tr|Q5EBP8|Q5EBP8_MOUSE
